Código,Nome do Exercício,grupo_muscular,musculo_foco,url
178,Extensão de Joelhos Unilateral,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/178
179,Flexão de Joelhos em Pé no Aparelho,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/179
180,Flexão de Joelhos em Pé,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/180
181,Flexão de Joelhos em 4 Apoios,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/181
182,Flexão de Quadril no Apolete,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/182
183,Flexão de Quadril Joelho Estendido,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/183
184,Flexão de Quadril Joelho Fletido,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/184
185,Flexão Plantar Unilateral,Perna,Panturrilha,https://rcstorestaff.com.br/exercicios_html/185
186,Flexão Plantar,Perna,Panturrilha,https://rcstorestaff.com.br/exercicios_html/186
187,Flexor Sentado,Perna,Posterior de Coxa,https://rcstorestaff.com.br/exercicios_html/187
188,Foot Press,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/188
189,Hack,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/189
190,Leg Press Inclinado,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/190
191,Leg Press Deitado,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/191
192,Leg Press Vertical,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/192
193,Leg Press,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/193
194,Mesa Flexora,Perna,Posterior de Coxa,https://rcstorestaff.com.br/exercicios_html/194
195,Panturrilha Sentado,Perna,Panturrilha,https://rcstorestaff.com.br/exercicios_html/195
196,Panturrilha Vertical,Perna,Panturrilha,https://rcstorestaff.com.br/exercicios_html/196
197,Stiff,Perna,Posterior de Coxa,https://rcstorestaff.com.br/exercicios_html/197
198,Abdução no Cross Over,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/198
199,Abdução Deitado com Caneleira,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/199
200,Abdução Em Pé,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/200
201,Abdução no Apolete,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/201
202,Adução no Cross Over,Perna,Adutores,https://rcstorestaff.com.br/exercicios_html/202
203,Adução Deitado com Caneleira,Perna,Adutores,https://rcstorestaff.com.br/exercicios_html/203
204,Adução no Apolete,Perna,Adutores,https://rcstorestaff.com.br/exercicios_html/204
205,Afundo na Barra Guiada,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/205
206,Afundo,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/206
207,Agachamento Inclinado,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/207
208,Agachamento na Barra Guiada,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/208
209,Agachamento em Pé,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/209
210,Banco Abdutor,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/210
211,Banco Adutor,Perna,Adutores,https://rcstorestaff.com.br/exercicios_html/211
212,Banco Extensor,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/212
213,Banco Flexor,Perna,Posterior de Coxa,https://rcstorestaff.com.br/exercicios_html/213
214,Flexão de Braços na Barra Paralela Olímpica,Tríceps,Tríceps,https://rcstorestaff.com.br/exercicios_html/214
215,Flexão de Braços na Barra Paralela,Tríceps,Tríceps,https://rcstorestaff.com.br/exercicios_html/215
216,Tríceps Banco,Tríceps,Tríceps,https://rcstorestaff.com.br/exercicios_html/216
217,Tríceps no Cross Over,Tríceps,Tríceps,https://rcstorestaff.com.br/exercicios_html/217
218,Tríceps Unilateral no Cross Over,Tríceps,Tríceps,https://rcstorestaff.com.br/exercicios_html/218
219,Tríceps Francês,Tríceps,Tríceps,https://rcstorestaff.com.br/exercicios_html/219
220,Tríceps Francês no Cross Over,Tríceps,Tríceps,https://rcstorestaff.com.br/exercicios_html/220
221,Tríceps Francês Unilateral,Tríceps,Tríceps,https://rcstorestaff.com.br/exercicios_html/221
222,Tríceps Kickback,Tríceps,Tríceps,https://rcstorestaff.com.br/exercicios_html/222
223,Tríceps Paralelo no Aparelho,Tríceps,Tríceps,https://rcstorestaff.com.br/exercicios_html/223
224,Tríceps Peito com Barra,Tríceps,Tríceps,https://rcstorestaff.com.br/exercicios_html/224
225,Tríceps Peito na Barra Guiada,Tríceps,Tríceps,https://rcstorestaff.com.br/exercicios_html/225
226,Tríceps Pulley,Tríceps,Tríceps,https://rcstorestaff.com.br/exercicios_html/226
227,Tríceps Testa,Tríceps,Tríceps,https://rcstorestaff.com.br/exercicios_html/227
228,Tríceps Testa Cross Over,Tríceps,Tríceps,https://rcstorestaff.com.br/exercicios_html/228
229,Abdominal Supra no Aparelho [2],Abdome,Reto Abdominal (parte superior),https://rcstorestaff.com.br/exercicios_html/229
230,Tríceps Corda no Cross Over,Tríceps,Tríceps,https://rcstorestaff.com.br/exercicios_html/230
